id,title,authors,year,venue,search_string,v1_decision,v1_reason,v2_decision,v2_reason
98,An Approximate Message Passing Framework for Side Information,A. Ma; Y. Zhou; C. Rush; D. Baron; D. Needell,2019,IEEE Transactions on Signal Processing,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
99,EchoTrack: Auditory Referring Multi-Object Tracking for Autonomous Driving,J. Lin; J. Chen; K. Peng; X. He; Z. Li; R. Stiefelhagen; K. Yang,2024,IEEE Transactions on Intelligent Transportation Systems,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
100,DSNet: A Novel Way to Use Atrous Convolutions in Semantic Segmentation,Z. Guo; L. Bian; H. Wei; J. Li; H. Ni; X. Huang,2025,IEEE Transactions on Circuits and Systems for Video Technology,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
101,Enhancing Traffic Safety with Parallel Dense Video Captioning for End-to-End Event Analysis,M. Shoman; D. Wang; A. Aboah; M. Abdel-Aty,2024,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
102,Dual-Mode Serial Night Road Object Detection Model Based on Depthwise Separable and Self-Attention Mechanism,Q. Yang; Y. Ma; L. Li; Z. Zhao,2024,IEEE Transactions on Instrumentation and Measurement,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
103,Development and testing of an image transformer for explainable autonomous driving systems,J. Dong; S. Chen; M. Miralinaghi; T. Chen; S. Labi,2022,Journal of Intelligent and Connected Vehicles,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
104,Model Checking Coordination of CPS Using Timed Automata,K. Jiang; C. Guan; J. Wang; D. Du,2018,2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
105,Top-Down Attention-Based Mechanisms for Interpretable Autonomous Driving,Z. Fu; K. Jiang; Y. Xu; Y. Wang; T. Wen; H. Gao; Z. Zhong; D. Yang,2025,IEEE Transactions on Intelligent Transportation Systems,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
106,Improving Explainable Object-induced Model through Uncertainty for Automated Vehicles,S. Ling; Y. Wan; X. Jia; N. Du,2024,2024 19th ACM/IEEE International Conference on Human-Robot Interaction (HRI),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
107,Data Limitations for Modeling Top-Down Effects on Drivers’ Attention,I. Kotseruba; J. K. Tsotsos,2024,2024 IEEE Intelligent Vehicles Symposium (IV),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
108,On-Policy Dataset Synthesis for Learning Robot Grasping Policies Using Fully Convolutional Deep Networks,V. Satish; J. Mahler; K. Goldberg,2019,IEEE Robotics and Automation Letters,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
109,Locational Detection of the False Data Injection Attack in a Smart Grid: A Multilabel Classification Approach,S. Wang; S. Bi; Y. -J. A. Zhang,2020,IEEE Internet of Things Journal,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
110,Uncertainty Exploration: Toward Explainable SAR Target Detection,Z. Huang; Y. Liu; X. Yao; J. Ren; J. Han,2023,IEEE Transactions on Geoscience and Remote Sensing,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
111,ReIDTracker_Sea: Multi-Object Tracking in Maritime Computer Vision,K. Huang; W. Chong; H. Yang; K. Lertniphonphan; J. Xie; F. Chen,2024,2024 IEEE/CVF Winter Conference on Applications of Computer Vision Workshops (WACVW),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
112,Comparing Chi-square-Based Bad Data Detection Algorithms for Distribution System State Estimation,J. Angulo-Paniagua; J. Quirós-Tortós,2020,2020 IEEE PES Transmission & Distribution Conference and Exhibition - Latin America (T&D LA),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
113,Top-k Query for Weighted Interactive Product Configuration,B. Chen; T. Feng,2018,2018 17th International Symposium on Distributed Computing and Applications for Business Engineering and Science (DCABES),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
114,Kraken-Mobile: Cross-Device Interaction-Based Testing of Android Apps,W. Ravelo-Méndez; C. Escobar-Vélasquez; M. Linares-Vásquez,2019,2019 IEEE International Conference on Software Maintenance and Evolution (ICSME),String B,INCLUDE,Đáp ứng IC1 đến IC5,INCLUDE,Đáp ứng IC1 đến IC5
115,Privacy and Security Documents for Agile Software Engineering: An Experiment of LGPD Inventory Adoption,J. Saraiva; S. Soares,2023,2023 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),String B,INCLUDE,Đáp ứng IC1 đến IC5,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
116,Nighttime Vehicle Detection Algorithm Enhanced by NightvisionGAN,S. Zhang; Y. Tong,2023,"2023 4th International Conference on Computer Vision, Image and Deep Learning (CVIDL)",String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
117,Automatic Adaptation of Object Detectors to New Domains Using Self-Training,A. RoyChowdhury; P. Chakrabarty; A. Singh; S. Jin; H. Jiang; L. Cao; E. Learned-Miller,2019,2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
118,Graph theoretical defense mechanisms against false data injection attacks in smart grids,M. H. Ansari; V. T. Vakili; B. Bahrak; P. Tavassoli,2018,Journal of Modern Power Systems and Clean Energy,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
119,Decomposition of power system state estimation problem as a method to tackle cyber attacks,I. Kolosok; E. Korkina,2018,2018 IEEE Industrial Cyber-Physical Systems (ICPS),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
120,Introspection of 2D Object Detection using Processed Neural Activation Patterns in Automated Driving Systems,H. Y. Yatbaz; M. Dianati; K. Koufos; R. Woodman,2023,2023 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
121,Deep Learning Based Localization Detection Technique for False Data Injection Attacks,H. Chen; J. Wang; Y. Zhu; Y. Si,2024,"2024 IEEE 4th International Conference on Power, Electronics and Computer Applications (ICPECA)",String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
122,Revisiting Out-of-Distribution Detection in Real-Time Object Detection: From Benchmark Pitfalls to a New Mitigation Paradigm,C. Wu; W. He; C. -H. Cheng; X. Huang; S. Bensalem,2026,IEEE Transactions on Pattern Analysis and Machine Intelligence,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
123,ExplainDrive: A Multimodal Chain-of-Thought Reasoning Approach for Explainable Automated Driving Systems,X. Yu; J. Peng; H. Li; E. Li; D. Du,2025,"2025 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation,,
